ticket_key,issue_type,severity
2314,Login Issue,Low
2315,Fraud Alert,Low
2316,App Bug,High
2318,Billing,Medium
2319,Fraud Alert,Low
2320,App Bug,Low
2321,Loan Query,Critical
2322,Loan Query,Low
2323,Billing,Low
2324,Login Issue,Medium
2325,App Bug,Medium
2326,Card Problem,Medium
2327,Login Issue,Low
2328,Card Problem,High
2329,Login Issue,Low
2330,Billing,Low
2331,Billing,Low
2332,App Bug,Medium
2333,Card Problem,High
2334,Billing,Low
2335,Loan Query,Low
2336,Login Issue,Low
2337,Card Problem,Medium
2338,Fraud Alert,Low
2339,Loan Query,Low
2340,Card Problem,Low
2341,Fraud Alert,Low
2342,Fraud Alert,Low
2343,Card Problem,Low
2344,Loan Query,Medium
2345,Fraud Alert,Low
2346,Fraud Alert,High
2347,Loan Query,High
2348,Card Problem,High
2349,Billing,High
2350,Billing,Critical
2351,Fraud Alert,Low
2352,Billing,Medium
2353,App Bug,High
2354,Fraud Alert,Medium
2355,Card Problem,Low
2356,Loan Query,Medium
2357,App Bug,High
2358,Card Problem,Low
2359,Fraud Alert,Medium
2360,Login Issue,High
2361,Billing,Medium
2362,Fraud Alert,Low
2363,Login Issue,High
2364,Fraud Alert,Low
2365,Login Issue,High
2366,Card Problem,High
2367,App Bug,Low
2369,Card Problem,Medium
2370,Card Problem,High
2371,Login Issue,Low
2372,App Bug,Low
2373,Fraud Alert,Low
2374,Login Issue,Low
2375,App Bug,Low
2376,Fraud Alert,High
2377,Login Issue,High
2378,Card Problem,Low
2379,Fraud Alert,High
2380,Billing,Low
2381,Loan Query,Medium
2382,Loan Query,Low
2383,Loan Query,High
2384,Fraud Alert,High
2385,Login Issue,Medium
2386,Login Issue,Medium
2387,Fraud Alert,Low
2388,Card Problem,Low
2389,Login Issue,High
2390,Billing,Medium
2391,Card Problem,Low
2392,Card Problem,Low
2393,Card Problem,Medium
2394,Loan Query,Low
2395,Loan Query,High
2396,Loan Query,Medium
2397,Billing,Low
2398,Billing,Low
2399,Card Problem,Low
2400,Billing,Medium
2401,App Bug,Low
2402,Login Issue,Low
2403,Card Problem,Low
2404,Login Issue,Critical
2405,App Bug,Low
2407,Billing,Medium
2408,Loan Query,Low
2409,Loan Query,Low
2410,Loan Query,Critical
2411,Fraud Alert,Medium
2412,Login Issue,Low
2413,Billing,Medium
2414,Billing,Low
2415,App Bug,High
2416,App Bug,Low
2417,Loan Query,Low
2418,App Bug,Medium
2419,Card Problem,High
2420,Login Issue,Critical
2421,Login Issue,Medium
2422,Login Issue,Low
2423,Card Problem,Low
2424,Card Problem,High
2425,Card Problem,Low
2426,Billing,Critical
2427,Card Problem,Low
2428,Login Issue,Medium
2429,Loan Query,Medium
2430,Billing,High
2431,Billing,Medium
2432,App Bug,Low
2433,Billing,Critical
2434,App Bug,Medium
2435,Billing,Low
2436,Login Issue,Medium
2437,App Bug,Low
2438,Card Problem,Medium
2439,App Bug,Medium
2440,Billing,High
2441,Billing,Low
2442,Card Problem,Low
2443,App Bug,High
2444,Card Problem,High
2445,Card Problem,Critical
2446,Billing,Low
2447,Fraud Alert,Low
2448,Login Issue,Low
2449,App Bug,Medium
2450,Card Problem,Low
2451,Loan Query,High
2452,Loan Query,Medium
2453,Billing,Medium
2454,Fraud Alert,Medium
2455,Loan Query,Low
2456,Loan Query,Low
2457,Loan Query,Low
2458,Card Problem,Medium
2459,Card Problem,Low
2460,Login Issue,High
2461,App Bug,Medium
2462,App Bug,Medium
2463,Login Issue,Medium
2464,Login Issue,Medium
2465,Login Issue,Low
2466,Loan Query,Medium
2467,Card Problem,High
2468,Login Issue,Medium
2469,Loan Query,High
2470,Card Problem,Medium
2471,Billing,Low
2472,Card Problem,Medium
2473,Fraud Alert,Medium
2474,App Bug,Low
2475,Card Problem,High
2476,Loan Query,Medium
2477,Login Issue,Low
2478,Loan Query,High
2479,App Bug,High
2480,Billing,High
2481,Fraud Alert,Medium
2482,Card Problem,High
2483,Billing,Low
2484,Loan Query,Low
2485,Fraud Alert,Medium
2486,App Bug,Medium
2487,Card Problem,Low
2489,Login Issue,Medium
2490,Loan Query,Low
2491,Loan Query,Medium
2492,Fraud Alert,Low
2493,Card Problem,Medium
2494,App Bug,Medium
2495,App Bug,High
2496,App Bug,Low
2497,App Bug,Medium
2498,Card Problem,Low
2499,Login Issue,High
2500,Card Problem,Low
2501,App Bug,High
2502,Login Issue,Medium
2503,Fraud Alert,Low
2504,Loan Query,Medium
2505,Card Problem,Low
2507,Fraud Alert,Medium
2508,Fraud Alert,Low
2509,App Bug,Medium
2510,Billing,Critical
2511,App Bug,Low
2512,Fraud Alert,High
2513,Card Problem,Critical
2514,Billing,Medium
2515,Loan Query,Low
2516,Billing,Medium
2517,App Bug,High
2518,Billing,Low
2519,Card Problem,Medium
2520,Fraud Alert,Low
2521,App Bug,Critical
2522,Loan Query,Critical
2523,Billing,Medium
2524,Fraud Alert,Low
2525,Fraud Alert,Medium
2526,Fraud Alert,Low
2527,Card Problem,Critical
2528,Login Issue,Medium
2529,App Bug,Medium
2530,Login Issue,High
2531,App Bug,Medium
2532,App Bug,Medium
2533,App Bug,Low
2534,Loan Query,Low
2535,Loan Query,Medium
2538,App Bug,High
2539,App Bug,Low
2540,Login Issue,Low
2541,App Bug,Medium
2542,Billing,Medium
2543,App Bug,High
2544,Card Problem,High
2545,Login Issue,Medium
2546,Fraud Alert,Low
2547,App Bug,Medium
2548,Login Issue,Low
2549,Billing,High
2550,Login Issue,High
2551,Card Problem,Medium
2552,App Bug,Low
2553,Billing,Medium
2554,Login Issue,Low
2556,Billing,Medium
2557,App Bug,Low
2558,Fraud Alert,Low
2559,Fraud Alert,Critical
2560,Card Problem,Low
2561,Loan Query,Medium
2562,Card Problem,Low
2563,Fraud Alert,Low
2564,Card Problem,Low
2565,Login Issue,Medium
2566,App Bug,High
2567,Billing,Medium
2568,Loan Query,Medium
2569,Login Issue,Medium
2570,Loan Query,Low
2571,Card Problem,Medium
2572,Fraud Alert,High
2573,Login Issue,Medium
2574,Loan Query,Critical
2575,Login Issue,Medium
2576,Loan Query,Low
2577,Billing,Critical
2578,Loan Query,Low
2579,Login Issue,Medium
2580,Billing,Medium
2581,Loan Query,Medium
2582,Billing,Medium
2583,Billing,High
2584,App Bug,Medium
2585,Fraud Alert,Medium
2586,App Bug,Medium
2587,Billing,Medium
2588,Billing,Low
2589,Loan Query,Medium
2590,Loan Query,Low
2591,Login Issue,Medium
2592,Loan Query,Medium
2593,Billing,Critical
2594,Fraud Alert,Low
2595,Billing,Low
2596,Card Problem,Low
2597,Fraud Alert,Medium
2598,Fraud Alert,High
2599,Billing,High
2600,Fraud Alert,Medium
2601,Login Issue,Medium
2602,App Bug,Medium
2603,Card Problem,Low
2604,App Bug,Medium
2605,Fraud Alert,High
2606,Card Problem,Low
2607,Login Issue,Medium
2608,Login Issue,Medium
2609,Loan Query,Low
2610,Loan Query,Low
2611,App Bug,Medium
2612,Fraud Alert,High
2613,Loan Query,Critical
2614,Loan Query,High
2615,Fraud Alert,Medium
2616,Loan Query,Low
2618,Fraud Alert,Medium
2619,Billing,Low
2620,Card Problem,Medium
2621,App Bug,Low
2622,Billing,Medium
2623,Loan Query,Low
2624,Card Problem,Low
2625,App Bug,Medium
2626,App Bug,Low
2627,App Bug,Medium
2628,Billing,Low
2629,Fraud Alert,Low
2630,Card Problem,Low
2631,Login Issue,Medium
2632,Login Issue,High
2633,Login Issue,Low
2634,Fraud Alert,High
2636,Fraud Alert,Medium
2637,Loan Query,Low
2638,Login Issue,Low
2639,Billing,Low
2640,App Bug,Low
2641,Card Problem,Low
2642,Card Problem,Low
2643,Loan Query,High
2644,Fraud Alert,Critical
2645,Billing,Low
2646,Billing,Medium
2648,Fraud Alert,Medium
2649,Billing,Low
2650,Loan Query,Low
2651,Fraud Alert,Medium
2652,App Bug,Medium
2653,Loan Query,Low
2654,Fraud Alert,Low
2655,App Bug,Low
2656,Loan Query,Critical
2657,Login Issue,Low
2658,Login Issue,Low
2659,Login Issue,Medium
2660,Billing,Low
2661,Billing,Medium
2662,Fraud Alert,Medium
2663,Billing,Medium
2664,Loan Query,Low
2665,Card Problem,Medium
2666,Login Issue,High
2667,Fraud Alert,Low
2668,Card Problem,Medium
2669,App Bug,Low
2670,App Bug,Medium
2671,App Bug,Low
2672,Billing,Low
2673,Billing,Medium
2674,Billing,Medium
2675,Fraud Alert,Medium
2676,Fraud Alert,Medium
2677,Card Problem,Low
2678,Loan Query,High
2679,Fraud Alert,Low
2680,Loan Query,Low
2681,Loan Query,Low
2682,Fraud Alert,Medium
2683,Fraud Alert,Medium
2684,Login Issue,Low
2685,App Bug,Medium
2686,Login Issue,Medium
2687,Fraud Alert,Low
2688,Billing,Low
2689,Fraud Alert,Low
2690,Loan Query,Critical
2691,Fraud Alert,Low
2692,Billing,Medium
2693,Card Problem,Low
2694,Login Issue,Medium
2695,Loan Query,High
2696,Login Issue,Low
2697,Loan Query,Medium
2698,Loan Query,Low
2699,Billing,Medium
2700,Fraud Alert,High
2701,Card Problem,Medium
2702,Billing,Low
2703,Loan Query,Medium
2704,Card Problem,Critical
2705,Card Problem,Medium
2706,Fraud Alert,High
2707,Billing,Medium
2708,Card Problem,High
2709,Billing,Medium
2710,Loan Query,Medium
2711,App Bug,High
2712,Login Issue,Low
2713,Card Problem,Medium
2714,App Bug,Medium
2715,Billing,Medium
2716,Loan Query,Low
2717,Login Issue,Low
2718,Loan Query,Low
2719,Card Problem,High
2720,Card Problem,Low
2721,Billing,High
2722,Fraud Alert,Low
2723,App Bug,Low
2724,Card Problem,Medium
2725,Card Problem,Critical
2726,Billing,Medium
2727,App Bug,Medium
2728,Billing,Low
2730,Card Problem,High
2731,Card Problem,High
2732,Loan Query,Medium
2733,App Bug,Medium
2734,Card Problem,Medium
2735,App Bug,High
2736,Card Problem,Medium
2737,Fraud Alert,High
2738,App Bug,Medium
2739,Card Problem,Low
2740,Card Problem,Medium
2741,Loan Query,Medium
2742,Card Problem,Low
2743,Loan Query,Low
2744,Fraud Alert,Low
2745,Loan Query,Low
2746,Loan Query,High
2747,Card Problem,High
2748,App Bug,High
2749,Billing,Low
2750,Fraud Alert,Low
2751,Billing,Low
2752,App Bug,Low
2753,Fraud Alert,Medium
2754,Loan Query,Medium
2755,Login Issue,Medium
2756,App Bug,Medium
2757,Fraud Alert,Medium
2758,Loan Query,High
2759,App Bug,Low
2760,Login Issue,Low
2761,Card Problem,Medium
2762,App Bug,Medium
2763,Card Problem,Medium
2764,Login Issue,Low
2765,Fraud Alert,Medium
2766,Fraud Alert,High
2767,Billing,High
2768,Billing,Medium
2769,Fraud Alert,Medium
2770,App Bug,Medium
2771,Card Problem,High
2772,App Bug,High
2773,Card Problem,Low
2774,Billing,Low
2775,Billing,Low
2776,Billing,Low
2777,Billing,Low
2778,Card Problem,Low
2779,Login Issue,High
2780,Login Issue,Medium
2781,Card Problem,Low
2782,App Bug,Medium
2783,Card Problem,Low
2784,Loan Query,Medium
2785,App Bug,High
2786,App Bug,Medium
2788,Card Problem,Low
2789,Card Problem,Medium
2790,Billing,Low
2791,Fraud Alert,Low
2792,Billing,Low
2793,App Bug,Low
2794,Login Issue,High
2795,App Bug,Low
2796,Billing,Low
2797,Login Issue,Low
2798,Loan Query,Low
2799,App Bug,Low
2800,Loan Query,Medium
2801,Fraud Alert,Low
2802,App Bug,Low
2803,Login Issue,Low
2804,Fraud Alert,High
2805,Loan Query,Low
2806,Billing,High
2807,App Bug,Low
2808,Billing,Medium
2809,App Bug,High
2810,App Bug,High
2811,Loan Query,Medium
2812,Card Problem,High
2813,Loan Query,Medium
2814,Card Problem,Medium
2815,Loan Query,Low
2816,App Bug,Medium
2817,Fraud Alert,Low
2818,Fraud Alert,Medium
2819,Loan Query,Medium
2820,Fraud Alert,Critical
2821,Card Problem,Low
2822,Billing,Low
2823,Loan Query,Low
2824,Card Problem,Low
2825,App Bug,Low
2826,Billing,Low
2827,Loan Query,Medium
2828,Billing,Low
2829,Card Problem,Medium
2830,Loan Query,Low
2831,Fraud Alert,Low
2832,Billing,High
2833,Fraud Alert,Critical
2834,Loan Query,Low
2835,App Bug,Medium
2836,Billing,High
2837,Loan Query,Medium
2838,Loan Query,Low
2839,Card Problem,High
2840,Billing,Low
2841,Fraud Alert,Low
2842,Login Issue,Low
2843,Loan Query,Low
2844,Fraud Alert,High
2845,Fraud Alert,Low
2846,Login Issue,High
2847,App Bug,Low
2848,Loan Query,Low
2849,Login Issue,Medium
2851,App Bug,Critical
2852,Billing,Medium
2853,Card Problem,Medium
2854,Card Problem,Low
2855,Fraud Alert,Medium
2856,App Bug,Critical
2857,Login Issue,Low
2858,App Bug,Low
2859,Billing,High
2860,Login Issue,Low
2861,Billing,Medium
2862,Billing,Low
2863,Login Issue,Low
2864,Login Issue,Medium
2865,Card Problem,High
2866,Card Problem,Low
2867,Billing,Low
2868,Card Problem,Medium
2869,Fraud Alert,Low
2870,App Bug,Low
2871,Loan Query,Medium
2872,Billing,Low
2873,Login Issue,Low
2874,Card Problem,Low
2875,Card Problem,Low
2876,Login Issue,Medium
2877,Loan Query,Low
2878,Billing,Medium
2879,Fraud Alert,Medium
2880,Login Issue,Low
2881,Login Issue,Medium
2882,Loan Query,Low
2883,Login Issue,High
2884,Login Issue,Low
2885,Login Issue,Low
2886,Loan Query,Low
2889,Fraud Alert,Medium
2890,Login Issue,Medium
2891,App Bug,Low
2892,Login Issue,Critical
2893,Loan Query,Low
2894,Fraud Alert,Critical
2895,Billing,Low
2896,Billing,Low
2897,Fraud Alert,Medium
2898,Login Issue,High
2899,Card Problem,Low
2900,Fraud Alert,Medium
2901,Card Problem,Critical
2902,Billing,Low
2903,Loan Query,Medium
2904,Billing,Medium
2905,Fraud Alert,Low
2906,App Bug,High
2907,Fraud Alert,Medium
2908,Billing,Critical
2909,Login Issue,Medium
2910,Billing,Medium
2911,Login Issue,Low
2912,Billing,High
2913,App Bug,Low
2914,Card Problem,Medium
2915,Login Issue,Critical
2916,Loan Query,High
2917,App Bug,Low
2918,Card Problem,High
2919,Loan Query,Medium
2920,Billing,High
2921,Billing,Medium
2922,Fraud Alert,Low
2923,App Bug,High
2924,Billing,Low
2925,Loan Query,Medium
2926,App Bug,Medium
2927,Card Problem,Low
2928,Card Problem,Low
2929,Loan Query,Medium
2930,Billing,Medium
2932,Loan Query,Medium
2933,App Bug,Low
2934,Loan Query,High
2935,Billing,Low
2936,App Bug,Low
2937,Card Problem,Low
2938,Card Problem,High
2939,Loan Query,Low
2940,Fraud Alert,Low
2941,Fraud Alert,Medium
2942,Card Problem,Low
2943,Billing,Low
2944,Login Issue,Medium
2945,Login Issue,Low
2946,Loan Query,Critical
2947,Loan Query,Low
2948,Fraud Alert,Low
2949,Fraud Alert,Low
2950,Loan Query,Low
2951,App Bug,Low
2952,Login Issue,Low
2953,Login Issue,Medium
2954,Loan Query,Low
2955,Card Problem,High
2956,Fraud Alert,Medium
2957,App Bug,Low
2958,App Bug,Medium
2959,Login Issue,Low
2960,App Bug,Critical
2961,Login Issue,High
2962,Card Problem,High
2963,Loan Query,Low
2964,Card Problem,Critical
2965,Login Issue,Medium
2966,Billing,Medium
2967,App Bug,High
2968,Loan Query,Low
2969,Card Problem,Low
2970,Billing,Medium
2971,Billing,Low
2972,Fraud Alert,High
2973,Card Problem,Low
2974,Fraud Alert,Medium
2975,Billing,Low
2976,Fraud Alert,Low
2977,Card Problem,Low
2978,Loan Query,High
2979,Loan Query,Low
2980,App Bug,Medium
2981,Card Problem,Low
2982,Card Problem,Medium
2983,Billing,Low
2984,App Bug,High
2985,Login Issue,Medium
2986,Billing,High
2987,Login Issue,Medium
2988,Fraud Alert,Low
2989,Card Problem,Medium
2990,Fraud Alert,Critical
2991,Loan Query,Low
2992,Login Issue,Medium
2993,Fraud Alert,Medium
2994,Loan Query,Low
2995,Loan Query,Low
2996,Card Problem,Low
2997,Login Issue,High
2998,App Bug,Medium
2999,Loan Query,Low
3000,Fraud Alert,Medium
3001,Card Problem,Low
3002,Fraud Alert,Low
3003,Login Issue,Critical
3004,Card Problem,Low
3005,Login Issue,Low
3006,Login Issue,Medium
3007,Loan Query,Low
3008,Loan Query,Medium
3009,App Bug,Low
3010,Loan Query,Medium
3011,Login Issue,Low
3012,Login Issue,High
3013,Loan Query,Medium
3014,Billing,Low
3015,Card Problem,High
3016,Billing,Low
3017,Fraud Alert,Low
3018,App Bug,Low
3019,Login Issue,Low
3020,Login Issue,Medium
3021,Loan Query,Medium
3022,Loan Query,Low
3023,App Bug,Low
3024,Loan Query,Medium
3025,Loan Query,Low
3026,Card Problem,Medium
3027,Card Problem,Low
3028,Billing,Low
3029,App Bug,Medium
3030,Login Issue,Critical
3031,App Bug,Critical
3032,Login Issue,Low
3033,App Bug,Low
3034,App Bug,Low
3035,Login Issue,Medium
3036,Loan Query,Low
3037,Card Problem,Low
3038,App Bug,Critical
3039,App Bug,Low
3040,Card Problem,Medium
3041,App Bug,Low
3042,App Bug,High
3043,Login Issue,Low
3044,Fraud Alert,High
3045,Loan Query,High
3046,Loan Query,Medium
3047,App Bug,High
3048,Loan Query,Low
3049,Login Issue,Medium
3050,Login Issue,Medium
3051,Login Issue,Medium
3052,Login Issue,Critical
3053,Billing,High
3054,Fraud Alert,Low
3055,Fraud Alert,Low
3056,App Bug,Medium
3057,Loan Query,Critical
3058,Card Problem,Low
3059,Login Issue,Low
3060,Loan Query,Medium
3061,Billing,Low
3062,App Bug,High
3063,Login Issue,Medium
3064,App Bug,Low
3065,Billing,Low
3066,Billing,Critical
3067,App Bug,Low
3068,Card Problem,Low
3069,Loan Query,Low
3070,Login Issue,Low
3071,Billing,Low
3072,Fraud Alert,Medium
3073,Billing,Medium
3074,Loan Query,Low
3075,Fraud Alert,Low
3076,Fraud Alert,Low
3077,Billing,Low
3078,Fraud Alert,High
3079,Fraud Alert,Low
3080,Card Problem,Medium
3081,Loan Query,Medium
3082,Login Issue,High
3083,App Bug,Low
3084,Loan Query,Low
3085,Billing,High
3086,Login Issue,Medium
3087,Billing,Medium
3088,Billing,Medium
3089,Loan Query,Critical
3090,Billing,Medium
3091,App Bug,High
3092,Loan Query,Low
3093,Loan Query,Low
3094,App Bug,Low
3095,Login Issue,Low
3096,Card Problem,Low
3097,Fraud Alert,Medium
3098,Loan Query,Low
3099,Fraud Alert,Low
3100,Fraud Alert,Low
3101,Fraud Alert,Medium
3102,Login Issue,Medium
3104,App Bug,High
3105,App Bug,Low
3106,Billing,Medium
3107,Billing,Medium
3108,Fraud Alert,Low
3109,Card Problem,High
3110,Fraud Alert,Medium
3112,App Bug,Medium
3114,Login Issue,High
3115,Loan Query,Low
3116,Login Issue,Medium
3117,Card Problem,Medium
3118,Billing,Low
3119,App Bug,Low
3120,Billing,Medium
3121,Billing,Low
3122,Loan Query,Medium
3123,Loan Query,Medium
3124,Login Issue,Medium
3125,Card Problem,High
3126,Fraud Alert,Low
3127,App Bug,High
3128,Billing,Medium
3129,Loan Query,Medium
3130,Loan Query,Medium
3131,App Bug,Low
3132,App Bug,High
3133,Card Problem,Medium
3134,Fraud Alert,Low
3135,Loan Query,Low
3136,Fraud Alert,Low
3137,Loan Query,Medium
3138,Login Issue,Medium
3139,Login Issue,Low
3140,Fraud Alert,Low
3141,Loan Query,Medium
3142,Billing,Medium
3143,App Bug,Low
3144,Fraud Alert,High
3145,Login Issue,Medium
3146,Card Problem,Low
3147,Login Issue,Low
3148,App Bug,Low
3149,Card Problem,Low
3150,App Bug,High
3151,App Bug,Low
3152,Loan Query,Low
3153,Billing,High
3154,Loan Query,Low
3155,Fraud Alert,Medium
3156,Fraud Alert,Low
3157,App Bug,Medium
3158,Billing,Medium
3159,Card Problem,High
3160,Login Issue,High
3161,App Bug,High
3162,Login Issue,Low
3163,App Bug,High
3164,Login Issue,Low
3165,Billing,High
3166,App Bug,High
3167,Fraud Alert,Medium
3168,Card Problem,Low
3169,Card Problem,Medium
3170,Loan Query,Medium
3171,Billing,Critical
3172,Fraud Alert,Critical
3173,Billing,Low
3175,Login Issue,Medium
3176,App Bug,Low
3177,Loan Query,Critical
3178,Loan Query,Low
3179,Fraud Alert,Medium
3180,Billing,Medium
3181,Card Problem,Low
3182,Fraud Alert,Low
3183,Loan Query,Low
3184,Login Issue,Low
3185,App Bug,Low
3186,Billing,Low
3187,Loan Query,Low
3188,App Bug,High
3189,App Bug,Medium
3190,Billing,Low
3191,Loan Query,Medium
3192,Fraud Alert,Low
3193,Loan Query,Medium
3194,App Bug,Low
3195,App Bug,Low
3196,App Bug,Low
3197,Billing,Low
3199,Loan Query,Medium
3200,App Bug,High
3201,Login Issue,Medium
3202,App Bug,Medium
3203,Login Issue,Medium
3204,Card Problem,Medium
3205,Billing,Medium
3206,Billing,Low
3207,Loan Query,Medium
3208,Fraud Alert,Low
3209,Login Issue,Medium
3210,Billing,High
3211,Card Problem,High
3212,Loan Query,Low
3213,Loan Query,Low
3214,Fraud Alert,Low
3215,Fraud Alert,Low
3216,Card Problem,Low
3217,Fraud Alert,Critical
3218,Login Issue,Low
3219,Billing,Medium
3220,Login Issue,High
3221,App Bug,Critical
3222,App Bug,Low
3223,Loan Query,Medium
3224,Billing,Medium
3225,Login Issue,Low
3226,Fraud Alert,Low
3227,Login Issue,High
3228,Loan Query,Medium
3229,Card Problem,Medium
3230,Loan Query,Medium
3231,Card Problem,Low
3232,Loan Query,Medium
3233,App Bug,Medium
3234,Fraud Alert,Low
3236,Login Issue,Low
3237,Loan Query,Medium
3238,App Bug,Low
3239,Fraud Alert,Low
3240,Fraud Alert,High
3241,Loan Query,Low
3242,Login Issue,Medium
3243,Loan Query,Medium
3244,Login Issue,Medium
3245,Card Problem,Medium
3246,Card Problem,Low
3247,App Bug,Medium
3248,Loan Query,Medium
3249,Login Issue,Medium
3250,Card Problem,Critical
3251,Card Problem,High
3252,Billing,Low
3253,Login Issue,High
3254,Login Issue,Medium
3255,Login Issue,Low
3256,Login Issue,High
3257,Loan Query,High
3258,Card Problem,Low
3259,Card Problem,Low
3260,Login Issue,Medium
3263,Billing,Low
3264,Card Problem,Medium
3265,Card Problem,Low
3266,Fraud Alert,Medium
3267,Card Problem,High
3268,Card Problem,Medium
3269,Login Issue,Critical
3270,Login Issue,Medium
3271,Login Issue,Medium
3272,Loan Query,Low
3273,App Bug,High
3274,Card Problem,Medium
3275,Card Problem,Medium
3276,Loan Query,Medium
3277,Loan Query,Medium
3278,App Bug,Medium
3279,Billing,Medium
3280,Billing,High
3281,Billing,Low
3282,Fraud Alert,Low
3283,App Bug,Medium
3284,Billing,Low
3285,Login Issue,Low
3286,Fraud Alert,Low
3287,Loan Query,Medium
3288,Loan Query,Low
3289,Loan Query,Medium
3290,Fraud Alert,Medium
3291,Loan Query,High
3292,Loan Query,Medium
3293,Card Problem,Low
3294,App Bug,Critical
3295,Loan Query,Critical
3296,Fraud Alert,Low
3297,Login Issue,Medium
3298,Loan Query,Medium
3299,Loan Query,Critical
3300,App Bug,High
3301,Loan Query,Medium
3302,App Bug,Low
3303,Loan Query,Medium
3304,Fraud Alert,Medium
3305,Login Issue,High
3306,Login Issue,Medium
3307,Login Issue,Low
3308,Fraud Alert,Low
3309,Billing,High
3310,Billing,Low
3312,App Bug,Critical
3313,Fraud Alert,Critical
3314,Fraud Alert,High
3315,Card Problem,Medium
3316,Billing,Medium
3317,Login Issue,Critical
3318,Card Problem,Medium
3319,Card Problem,Medium
3320,Fraud Alert,Low
3321,Card Problem,Low
3322,Fraud Alert,Low
3323,Loan Query,Medium
3324,Fraud Alert,Medium
3325,Login Issue,Medium
3326,Fraud Alert,Low
3327,Fraud Alert,Critical
3328,Loan Query,High
3329,Login Issue,Low
3330,App Bug,Low
3331,Card Problem,Medium
3332,Login Issue,Low
3333,Login Issue,Medium
3334,Login Issue,Critical
3335,App Bug,Low
3336,App Bug,Medium
3337,Card Problem,High
3338,Billing,Low
3339,Card Problem,Low
3340,Fraud Alert,Critical
3341,App Bug,Medium
3342,Fraud Alert,Medium
3343,Card Problem,Medium
3344,Card Problem,High
3345,Fraud Alert,Medium
3346,Card Problem,Medium
3347,Fraud Alert,Low
3348,Card Problem,High
3349,Loan Query,Low
3350,Card Problem,High
3351,App Bug,Medium
3352,Login Issue,Low
3353,Card Problem,Low
3354,App Bug,Medium
3355,Billing,Low
3356,Fraud Alert,High
3357,Loan Query,Low
3358,Loan Query,Low
3359,App Bug,Critical
3360,Billing,Medium
3361,App Bug,High
3362,App Bug,High
3363,Card Problem,Low
3364,Fraud Alert,Medium
3365,Loan Query,Low
3366,Login Issue,Medium
3367,Login Issue,Medium
3368,Loan Query,Medium
3369,Loan Query,Low
3370,Loan Query,Medium
3371,Card Problem,Low
3372,Card Problem,Medium
3373,Fraud Alert,High
3374,Card Problem,Low
3375,Billing,Medium
3376,Login Issue,Critical
3377,Loan Query,Medium
3378,App Bug,Medium
3379,Card Problem,High
3380,Card Problem,High
3381,App Bug,Medium
3382,Card Problem,Critical
3383,App Bug,Medium
3384,Login Issue,High
3385,Billing,Low
3386,Billing,Critical
3387,App Bug,High
3388,Login Issue,High
3389,Billing,Low
3390,Loan Query,Medium
3391,Login Issue,Low
3392,Billing,Medium
3393,Fraud Alert,Medium
3394,Billing,Critical
3395,Loan Query,High
3396,Fraud Alert,High
3397,Card Problem,Medium
3398,Billing,Medium
3399,Login Issue,Low
3400,App Bug,Medium
3401,Loan Query,Medium
3402,Loan Query,High
3403,Loan Query,Low
3404,App Bug,Medium
3405,Card Problem,Medium
3406,App Bug,Critical
3407,App Bug,Critical
3408,Fraud Alert,Medium
3409,Loan Query,Low
3410,App Bug,Low
3411,Billing,Medium
3412,Login Issue,Medium
3413,Card Problem,Low
3414,Billing,Low
3415,Fraud Alert,Low
3416,Fraud Alert,Low
3417,Card Problem,Low
3418,Card Problem,Low
3419,Loan Query,Low
3420,App Bug,Critical
3421,Login Issue,Medium
3422,Card Problem,Medium
3423,Loan Query,Medium
3424,App Bug,Low
3425,Login Issue,High
3426,Login Issue,Medium
3427,Loan Query,Low
3428,Card Problem,Medium
3429,Billing,Medium
3430,Billing,High
3431,App Bug,Medium
3432,Billing,Low
3433,Loan Query,Medium
3434,App Bug,Low
3435,Billing,High
3436,Card Problem,Low
3437,Fraud Alert,Low
3438,Loan Query,Medium
3439,App Bug,Medium
3440,App Bug,Medium
3441,App Bug,Medium
3442,App Bug,Low
3443,Billing,Low
3444,App Bug,Medium
3445,Card Problem,Low
3446,Loan Query,Low
3447,Card Problem,Low
3448,Loan Query,Low
3449,Fraud Alert,Low
3450,Billing,Low
3451,Login Issue,Low
3452,Login Issue,Low
3453,Login Issue,Low
3454,Billing,Low
3455,Billing,Medium
3456,Card Problem,Low
3457,Login Issue,Low
3458,Card Problem,Medium
3459,App Bug,Low
3460,Billing,High
3461,Loan Query,Low
3462,Login Issue,Medium
3463,Login Issue,High
3464,Billing,Low
3465,Billing,Low
3466,Login Issue,Medium
3467,Card Problem,Medium
3468,Login Issue,Medium
3469,App Bug,Low
3470,Login Issue,Critical
3471,Fraud Alert,High
3472,App Bug,Medium
3473,App Bug,High
3474,Card Problem,Medium
3475,Fraud Alert,Medium
3476,Fraud Alert,Medium
3477,Login Issue,Medium
3478,Login Issue,Low
3479,Card Problem,Low
3481,Loan Query,Medium
3482,Loan Query,High
3483,App Bug,Medium
3484,Billing,High
3485,App Bug,Low
3486,App Bug,High
3487,Fraud Alert,Medium
3488,Fraud Alert,High
3489,Fraud Alert,High
3490,Billing,High
3491,Loan Query,Medium
3492,Billing,High
3493,Fraud Alert,High
3494,Card Problem,Medium
3495,Billing,Medium
3496,Loan Query,Medium
3497,Login Issue,Critical
3498,Login Issue,Low
3499,App Bug,Low
